,id,username,category_name,follower,following,ar_effect,type_business,type_professional,verified,reel_count,reel_avg_view,reel_avg_comment,reel_avg_like,reel_avg_duration,reel_frequency,media_count,media_avg_comment,media_avg_like,media_frequency
69,907025384,akshaykumar,Actor,64906396,6,TRUE,TRUE,TRUE,TRUE,702,1865338.667,2614.083333,396252.1667,75.16008333,13.37186987,2079,4170.25,567939.5,4.904151041
70,26633036,anitta,Artist,64153769,3153,TRUE,FALSE,TRUE,TRUE,1176,2529067.083,8092.5,387267.1667,136.8756667,10.51225504,5286,8017.5,744813.5833,-7.994634756
71,369719055,urvashirautela,Actor,64613000,75,TRUE,FALSE,TRUE,TRUE,114,640920.25,749.5833333,84148.58333,72.28858333,9.847066633,1012,3868.5,369686.4167,-29.76457904
72,196434978,anushkasharma,Artist,63314672,569,FALSE,FALSE,TRUE,TRUE,272,3027929.75,1664.25,451340.1667,44.055,24.12361433,1243,11650.58333,3162051.917,3.977084408
73,3132929984,willsmith,Artist,62940390,214,FALSE,FALSE,TRUE,TRUE,845,2796417.917,2906.333333,290269.8333,53.33566667,4.464751818,1479,4699.75,399685.4167,1.873415426
74,44059601,maluma,Artist,62949541,260,FALSE,TRUE,TRUE,TRUE,10,504003.8,1047.2,61601.1,426.7731,92.54811999,52,8057.916667,986769.8333,1.975438986
75,3439002676,milliebobbybrown,Actor,63438077,843,FALSE,FALSE,TRUE,TRUE,136,12141500.67,11245.33333,2690833.583,108.9524167,22.80196676,370,14583.91667,2975728,4.156175429
76,176702683,marcelotwelve,Athlete,63084686,2023,TRUE,TRUE,TRUE,TRUE,245,3008343.917,2822.916667,649348.0833,88.99408333,8.801559523,2816,4742,778900.6667,1.345551504
77,253625977,433,Community,62810676,2616,FALSE,TRUE,TRUE,TRUE,5839,2871510.167,853.75,418387.0833,141.1329167,4.008838541,26724,1837.916667,763642.6667,0.075120039
78,491527077,manchesterunited,Sports,61665689,152,FALSE,TRUE,TRUE,TRUE,4766,1013277.583,1286.666667,240623.3333,37.91608333,17.16858499,25870,1933.833333,295840.9167,-0.011642444
79,46864839,karolg,Just for fun,61786532,921,TRUE,FALSE,TRUE,TRUE,726,22506546.33,70264.5,3261549.417,48.15516667,20.54724537,3318,44507.75,4897137.917,-3.20512624
80,29421778,zacefron,Actor,59607597,277,FALSE,TRUE,TRUE,TRUE,123,6637217.917,6553.583333,892227.5,40.758,85.25841245,680,5896.333333,1408933.583,12.59512541
81,1547627005,beingsalmankhan,Actor,60759950,35,TRUE,FALSE,TRUE,TRUE,444,3654413.25,7723.25,629919.9167,67.24408333,6.431358465,1298,12822.16667,1359268.25,0.502868467
82,637874562,iamzlatanibrahimovic,Writer,59253909,23,FALSE,TRUE,TRUE,TRUE,259,7859002.25,8863,1018483.5,48.69966667,24.18734011,949,4682.25,1000877.75,3.961625743
83,259220806,9gag,Community,58266951,30,TRUE,TRUE,TRUE,TRUE,7511,1778511.333,633.0833333,94305.66667,16.1365,5.669943204,32191,805.5,85289.08333,-0.18576174
84,284920884,whinderssonnunes,Comedian,58662622,1977,FALSE,FALSE,TRUE,TRUE,484,931981.9167,1472.333333,110802.1667,92.06633333,24.27613128,2884,20100.41667,1449269.25,-0.647577795
85,50344278754,thv,Artist,58594057,6,FALSE,FALSE,TRUE,TRUE,11,31682943.82,0.636363636,13944206,49.40554545,11.27000473,77,0.083333333,12688478.17,15.54594502
86,16516077,bellahadid,Scientist,58627306,848,FALSE,FALSE,TRUE,TRUE,301,2592640.917,2763.333333,627027.6667,51.422,10.61984334,3347,3778.583333,1452553.667,-8.895737517
87,2482066817,paulpogba,Athlete,58053142,180,TRUE,TRUE,TRUE,TRUE,431,1930557.667,3658.166667,387766.4167,42.63033333,4.908138723,1369,2805.416667,524521.6667,4.177767278
88,194317179,juventus,Sports,58004627,72,TRUE,TRUE,TRUE,TRUE,2568,416967.5,331.25,78613.33333,48.29125,1.69692452,14183,1683.75,94688.25,-1.103567792
89,1506607755,leonardodicaprio,Public figure,58017181,184,FALSE,FALSE,TRUE,TRUE,376,674483.5833,2373.833333,101970.5,58.27733333,15.90346495,1801,781.5,58198.5,1.900821759
90,510093911,dishapatani,Artist,57631898,158,TRUE,FALSE,TRUE,TRUE,307,3180363.167,2890.333333,581565.0833,57.03575,38.65174983,2044,3294.5,693917.75,1.922909391
91,1521885756,sergioramos,Athlete,58052653,1588,FALSE,FALSE,TRUE,TRUE,462,2690323.75,2364.833333,546544.3333,59.2025,20.83714873,2385,1838.333333,865062.8333,2.173833168
92,602725764,zara,Clothing (Brand),57824842,108,TRUE,TRUE,TRUE,TRUE,748,461705,126.6666667,15082.75,14.01775,3.848698577,4126,94.16666667,12753.83333,0.394367724
93,1822594644,chrishemsworth,Actor,56460171,526,FALSE,FALSE,TRUE,TRUE,317,3711857.167,2736.333333,826950.1667,59.336,11.45252745,937,3472.833333,1085417.667,4.847912615
94,26029182,tatawerneck,Artist,55524996,2656,FALSE,FALSE,TRUE,TRUE,1484,1491099.833,2898.25,146941.9167,32.28583333,8.528576389,5832,315.5833333,49365.83333,1.017013061
95,1518284433,robertdowneyjr,Artist,55434660,8,FALSE,TRUE,TRUE,TRUE,150,7363441.667,5978.333333,1566316.75,108.1914167,42.47453298,470,5240,823057.6667,3.99324289
96,371299822,paulodybala,Athlete,55946089,743,TRUE,FALSE,TRUE,TRUE,117,2793342.583,6149.583333,709557.75,44.18583333,49.79525058,1356,4058.916667,1586614.333,2.791532076
97,695995017,chanelofficial,Clothing (Brand),55646396,3,FALSE,TRUE,TRUE,TRUE,1789,156152.5833,103.75,20482.5,21.14433333,0.90474537,5391,159.0833333,29430.41667,1.211538524
98,184692323,ladygaga,Musician,54915766,91,TRUE,FALSE,TRUE,TRUE,400,3499232.167,8900.25,558844.5833,74.47216667,12.6730725,3590,15091.25,1732593.417,14.53268948
99,24931858,sunnyleone,Actor,54496812,87,FALSE,FALSE,TRUE,TRUE,1087,827616.3333,1380.166667,172703.75,229.1790833,25.1486913,4976,1131.25,144776.8333,0.659368799
100,1497414823,theshaderoom,,28150624,1377,FALSE,TRUE,TRUE,TRUE,37794,2066028.667,5766.083333,122332.5833,82.99133333,16.42103869,137502,3005.333333,64434.66667,0.026295468
101,1399287101,hollywoodunlocked,,3332057,1100,FALSE,FALSE,TRUE,TRUE,41362,107145.4167,257,7474.083333,857.3490833,22.35803671,138506,463.4166667,4405.25,0.015032819
102,1747159416,rvcjinsta,Digital creator,9745973,83,TRUE,FALSE,TRUE,TRUE,5601,676246.5,298.0833333,54059.5,43.06358333,2.466003967,133787,612.5833333,41818.08333,0.008593336
103,364081256,manotoofficial,Broadcasting & media production company,11894947,122,FALSE,TRUE,TRUE,TRUE,59287,216819.9167,410.5,20738.66667,178.5086667,0.52097867,110238,259.0833333,8477.75,0.006586723
104,322396641,tvnnoticias,Media/news company,1734726,618,FALSE,TRUE,TRUE,TRUE,45879,98741.16667,193.8333333,2894.083333,35.22783333,1.368557539,111251,61.41666667,1090.416667,0.022821097
105,1277259526,instablog9ja,Media/news company,6092447,0,FALSE,TRUE,TRUE,TRUE,21583,77706.83333,34.66666667,2227.833333,1925.779333,11.78800843,109174,446.4166667,2531,0.042022485
106,980505357,worldstar,Community,43123440,1990,TRUE,TRUE,TRUE,TRUE,55779,968718.0833,895.9166667,52833.83333,227.6578333,14.09958036,104501,859.0833333,27354.16667,0.024869708
107,199735199,uae_barq,Media/news company,2561681,15,FALSE,TRUE,TRUE,TRUE,25981,5296.916667,10.41666667,264.4166667,2575.241333,6.047574817,102473,113.25,2489.916667,0.07025463
108,104967519,telemetro,TV channel,1609429,904,TRUE,TRUE,TRUE,TRUE,27077,2255.75,2.25,33.58333333,28.188,0.284082671,98679,15.33333333,620.75,-0.01777133
109,634723463,bellanaijaonline,Entertainment website,2103931,6888,FALSE,TRUE,TRUE,TRUE,19328,2252.416667,2,99.25,2274.898167,12.10426248,93707,12.83333333,781.8333333,0.064456019
110,29883180,fashionnova,Clothing (Brand),21554862,10,TRUE,TRUE,TRUE,TRUE,1495,234186.75,67.5,8828.583333,44.18025,13.05577249,84843,47.16666667,3007.666667,-0.729709574
111,241148014,3meed_news,Media/news company,2018280,30,FALSE,TRUE,TRUE,TRUE,13668,39515,60.33333333,2022.416667,47.46375,6.55780415,85387,79.33333333,971.6666667,0.063171296
112,401619695,melodia_musik,Shopping & retail,170390,2522,FALSE,TRUE,TRUE,FALSE,12860,1135,0.5,40.5,1135.632167,12.11289567,82582,2.916666667,287.9166667,-1.159504218
113,1183160492,aboutcirebonid,News & media website,293859,5361,FALSE,FALSE,TRUE,FALSE,10334,11572.08333,9.916666667,553,94.68883333,10.04949182,83356,2,336.9166667,0.084511986
114,1945961331,infodenpasar,Media/news company,1084564,632,FALSE,FALSE,TRUE,FALSE,10857,150382.9167,186.6666667,8637.416667,18.94416667,0.895698743,87911,5.5,817.1666667,0.03078406
115,27817698,radiofarda,Media/news company,3716526,6,FALSE,TRUE,TRUE,TRUE,27302,120782.8333,373.75,13217.5,48.80391667,0.094954778,85824,63.66666667,3503,0.02223702
116,181436401,instantbollywood,Entertainment website,14165680,505,FALSE,FALSE,TRUE,TRUE,4067,247920,145.3333333,22202.75,128.9718333,11.17746958,76943,747.0833333,99906,-0.104556961
117,5496840166,iranintltv,TV channel,9754044,69,FALSE,TRUE,TRUE,TRUE,30035,635571.5,2754.5,82102.33333,143.9759167,0.272741153,77579,383.4166667,14975.08333,0.020381944
118,7197775,fashionbombdaily,Entertainment website,2153799,4568,FALSE,TRUE,TRUE,TRUE,4071,14802.08333,33.91666667,786.25,178.1861667,6.091316467,79076,30.58333333,734.25,-0.093466849
119,1080979607,eldiario,Media/news company,3434812,366,FALSE,TRUE,TRUE,TRUE,13268,300181.75,267.8333333,8174.333333,49.49533333,19.65073776,73586,42.75,1749.833333,0.024123594
120,3105020224,arab2turk,Art,531281,8,FALSE,TRUE,TRUE,FALSE,8662,54468.33333,306.3333333,5885.916667,46.27191667,0.373287037,73094,117,3301.583333,0.061633019
121,352978341,albayannews,News & media website,396651,35,FALSE,TRUE,TRUE,TRUE,24827,5035.75,20.5,262.6666667,66.15041667,2.461147982,70455,15.75,118.75,0.077740078
122,30804427,vladtv,Video creator,958124,51,FALSE,TRUE,TRUE,TRUE,8946,79907.41667,437.5833333,5485.5,208.4931667,22.9131188,69497,62.08333333,297.25,0.047182373
